tripinfo_arrival;tripinfo_arrivalLane;tripinfo_arrivalPos;tripinfo_arrivalSpeed;tripinfo_depart;tripinfo_departDelay;tripinfo_departLane;tripinfo_departPos;tripinfo_departSpeed;tripinfo_devices;tripinfo_duration;tripinfo_id;tripinfo_rerouteNo;tripinfo_routeLength;tripinfo_speedFactor;tripinfo_stopTime;tripinfo_timeLoss;tripinfo_vType;tripinfo_vaporized;tripinfo_waitingCount;tripinfo_waitingTime;emissions_CO2_abs;emissions_CO_abs;emissions_HC_abs;emissions_NOx_abs;emissions_PMx_abs;emissions_electricity_abs;emissions_fuel_abs
774.00;305873958#3-AddedOnRampEdge_2;99.87;24.23;736.00;0.89;28718647#1_0;5.10;24.76;tripinfo_228 emissions_228 ssm_228 fcd_228;38.00;228;0;775.35;1.11;0.00;5.85;DEFAULT_VEHTYPE;;0;0.00;186687.96;2435.53;16.38;73.78;22.09;0.00;60521.18
777.00;10873193#2_0;224.37;22.48;733.00;0.88;50211834#0_0;5.10;28.22;tripinfo_1566 emissions_1566 ssm_1566 fcd_1566;44.00;1566;0;825.23;1.02;0.00;8.66;DEFAULT_VEHTYPE;;0;0.00;189470.86;2220.79;14.97;72.96;23.14;0.00;61423.61
784.00;10873191#5_2;21.02;9.70;550.00;0.55;690516091#0_0;5.10;24.20;tripinfo_1144 emissions_1144 ssm_1144 fcd_1144;234.00;1144;0;714.43;0.87;0.00;202.90;DEFAULT_VEHTYPE;;4;162.00;477786.37;1702.34;11.39;178.88;17.51;0.00;154893.06
786.00;10873191#5_1;21.02;14.60;510.00;0.50;690516091#0_0;5.10;23.23;tripinfo_1136 emissions_1136 ssm_1136 fcd_1136;276.00;1136;0;714.43;0.84;0.00;243.87;DEFAULT_VEHTYPE;;8;189.00;533456.38;1491.17;9.97;199.03;16.95;0.00;172941.06
786.00;10873191#5_0;21.02;14.32;535.00;0.24;690516091#0_0;5.10;23.74;tripinfo_1211 emissions_1211 ssm_1211 fcd_1211;251.00;1211;0;714.43;0.85;0.00;219.42;DEFAULT_VEHTYPE;;7;172.00;503195.43;1449.17;9.69;184.87;16.34;0.00;163130.36
786.00;10873191#5_2;21.02;13.38;614.00;0.80;690516091#0_0;5.10;27.24;tripinfo_1109 emissions_1109 ssm_1109 fcd_1109;172.00;1109;0;714.43;0.98;0.00;144.83;DEFAULT_VEHTYPE;;3;116.00;396840.68;1984.58;13.30;148.67;18.29;0.00;128651.08
786.00;10873191#5_3;21.02;14.68;659.00;0.45;690516091#0_0;5.10;27.99;tripinfo_1000 emissions_1000 ssm_1000 fcd_1000;127.00;1000;0;714.43;1.01;0.00;99.87;DEFAULT_VEHTYPE;;1;67.00;308703.32;1856.48;12.44;114.52;17.14;0.00;100077.63
788.00;305873958#3-AddedOnRampEdge_0;99.87;19.15;471.00;0.44;29181613#1_1;5.10;25.31;tripinfo_748 emissions_748 ssm_748 fcd_748;317.00;748;0;477.81;0.91;0.00;294.08;DEFAULT_VEHTYPE;;19;240.00;556002.09;1033.20;6.86;215.28;10.44;0.00;180251.21
788.00;10873191#5_2;21.02;13.82;640.00;0.67;690516091#0_0;5.10;29.81;tripinfo_1133 emissions_1133 ssm_1133 fcd_1133;148.00;1133;0;714.43;1.07;0.00;122.98;DEFAULT_VEHTYPE;;4;92.00;348682.63;1883.69;12.63;130.29;16.21;0.00;113038.72
788.00;10873191#5_3;21.02;14.02;660.00;0.82;690516091#0_0;5.10;25.71;tripinfo_1101 emissions_1101 ssm_1101 fcd_1101;128.00;1101;0;714.43;0.93;0.00;98.78;DEFAULT_VEHTYPE;;1;59.00;304424.91;1693.62;11.32;109.99;16.08;0.00;98690.44
788.00;10873191#5_0;21.02;15.02;665.00;0.81;690516091#0_0;5.10;28.06;tripinfo_1174 emissions_1174 ssm_1174 fcd_1174;123.00;1174;0;714.43;1.01;0.00;96.14;DEFAULT_VEHTYPE;;3;52.00;284247.43;1463.89;9.87;102.09;16.85;0.00;92149.26
788.00;10873191#5_1;21.02;15.79;676.00;0.93;690516091#0_0;5.10;30.72;tripinfo_968 emissions_968 ssm_968 fcd_968;112.00;968;0;714.43;1.11;0.00;87.49;DEFAULT_VEHTYPE;;2;46.00;270337.19;1546.13;10.40;97.90;15.95;0.00;87639.68
790.00;10873191#5_2;21.02;15.83;646.00;0.73;50211834#0_0;5.10;31.51;tripinfo_1759 emissions_1759 ssm_1759 fcd_1759;144.00;1759;0;643.12;1.13;0.00;121.90;DEFAULT_VEHTYPE;;3;87.00;336397.23;1625.39;10.91;124.27;15.65;0.00;109055.96
790.00;10873191#5_3;21.02;16.38;674.00;0.31;690516091#0_0;5.10;26.79;tripinfo_1082 emissions_1082 ssm_1082 fcd_1082;116.00;1082;0;714.43;0.96;0.00;87.88;DEFAULT_VEHTYPE;;1;53.00;271537.65;1524.42;10.28;98.76;17.00;0.00;88028.96
790.00;10873193#2_0;224.37;22.88;748.00;0.01;50211834#0_1;5.10;29.99;tripinfo_1607 emissions_1607 ssm_1607 fcd_1607;42.00;1607;0;825.23;1.08;0.00;8.24;DEFAULT_VEHTYPE;;0;0.00;194995.05;2393.36;16.17;75.30;23.68;0.00;63214.47
791.00;192591565#2_0;258.68;25.58;623.00;0.42;690516091#0_0;5.10;26.57;tripinfo_1260 emissions_1260 ssm_1260 fcd_1260;168.00;1260;0;903.69;0.96;0.00;132.00;DEFAULT_VEHTYPE;;7;47.00;409862.71;2649.55;17.75;151.25;23.45;0.00;132871.58
791.00;305873958#3-AddedOnRampEdge_3;99.87;24.41;732.00;0.64;690516091#0_0;5.10;31.67;tripinfo_1302 emissions_1302 ssm_1302 fcd_1302;59.00;1302;0;654.28;1.14;0.00;34.83;DEFAULT_VEHTYPE;;1;17.00;247098.28;2703.18;18.05;95.24;18.14;0.00;80105.11
792.00;10873193#2_0;224.37;24.33;748.00;0.76;50211834#0_0;5.10;30.43;tripinfo_1456 emissions_1456 ssm_1456 fcd_1456;44.00;1456;0;822.42;1.10;0.00;11.82;DEFAULT_VEHTYPE;;0;0.00;210645.07;2586.22;17.34;80.95;20.89;0.00;68287.61
794.00;192591565#2_0;258.68;31.33;641.00;0.45;28718647#1_0;5.10;25.15;tripinfo_265 emissions_265 ssm_265 fcd_265;153.00;265;0;1006.64;1.13;0.00;114.39;DEFAULT_VEHTYPE;;7;35.00;431528.22;3691.49;24.66;163.46;27.82;0.00;139894.40
797.00;192591565#2_0;258.68;30.84;697.00;0.83;690516091#0_0;5.10;31.49;tripinfo_1300 emissions_1300 ssm_1300 fcd_1300;100.00;1300;0;903.69;1.13;0.00;70.22;DEFAULT_VEHTYPE;;5;16.00;340108.72;3942.32;26.40;136.54;25.43;0.00;110257.55
802.00;10873193#2_0;224.37;19.92;343.00;0.34;29181613#1_1;5.10;24.90;tripinfo_559 emissions_559 ssm_559 fcd_559;459.00;559;0;791.06;0.90;0.00;420.16;DEFAULT_VEHTYPE;;15;350.00;803197.56;1670.44;11.13;310.22;17.58;0.00;260389.72
802.00;305873958#3-AddedOnRampEdge_3;99.87;17.76;763.00;0.93;690516091#0_0;5.10;23.61;tripinfo_1293 emissions_1293 ssm_1293 fcd_1293;39.00;1293;0;654.28;0.85;0.00;6.99;DEFAULT_VEHTYPE;;0;0.00;145046.10;1411.41;9.52;53.04;16.96;0.00;47021.85
803.00;10873193#2_0;224.37;21.28;457.00;0.39;29181613#1_1;5.10;29.43;tripinfo_444 emissions_444 ssm_444 fcd_444;346.00;444;0;791.06;1.09;0.00;315.06;DEFAULT_VEHTYPE;;10;248.00;658270.90;1894.26;12.59;250.46;18.28;0.00;213404.95
807.00;10873193#2_0;224.37;20.80;383.00;0.93;29181613#1_0;5.10;26.99;tripinfo_349 emissions_349 ssm_349 fcd_349;424.00;349;0;733.04;0.97;0.00;386.72;DEFAULT_VEHTYPE;;7;349.00;756396.91;1782.56;11.88;294.69;17.26;0.00;245217.39
807.00;305873958#3-AddedOnRampEdge_0;99.87;20.14;472.00;0.25;29181613#1_2;5.10;19.96;tripinfo_701 emissions_701 ssm_701 fcd_701;335.00;701;0;477.81;0.96;0.00;313.34;DEFAULT_VEHTYPE;;17;258.00;599460.11;1360.11;9.03;232.54;11.61;0.00;194339.76
809.00;10873193#2_0;224.37;20.80;351.00;0.69;29181613#1_0;5.10;26.55;tripinfo_547 emissions_547 ssm_547 fcd_547;458.00;547;0;791.06;0.96;0.00;421.73;DEFAULT_VEHTYPE;;14;340.00;816124.49;1852.53;12.36;315.75;19.02;0.00;264580.24
815.00;305873958#3-AddedOnRampEdge_0;99.87;22.06;483.00;0.96;29181613#1_1;5.10;28.45;tripinfo_589 emissions_589 ssm_589 fcd_589;332.00;589;0;477.81;1.02;0.00;311.50;DEFAULT_VEHTYPE;;16;248.00;593573.25;1193.61;7.93;227.01;10.96;0.00;192430.75
819.00;192591565#2_0;258.68;24.35;476.00;0.26;29181613#1_2;5.10;20.36;tripinfo_583 emissions_583 ssm_583 fcd_583;343.00;583;0;523.09;0.88;0.00;320.05;DEFAULT_VEHTYPE;;10;270.00;636584.62;1906.76;12.68;248.26;14.01;0.00;206374.76
821.00;10873191#5_2;21.02;29.32;675.00;0.58;28718647#1_0;5.10;25.96;tripinfo_15 emissions_15 ssm_15 fcd_15;146.00;15;0;817.38;1.17;0.00;115.02;DEFAULT_VEHTYPE;;4;89.00;422289.09;3310.41;22.13;164.44;25.50;0.00;136900.28
822.00;10873191#5_2;21.02;29.48;717.00;0.82;690516091#0_0;5.10;32.98;tripinfo_1063 emissions_1063 ssm_1063 fcd_1063;105.00;1063;0;714.43;1.19;0.00;82.22;DEFAULT_VEHTYPE;;3;46.00;323169.19;2722.71;18.12;124.41;18.61;0.00;104766.52
832.00;305873958#3-AddedOnRampEdge_3;99.87;24.41;764.00;0.92;28718647#1_0;5.10;25.32;tripinfo_324 emissions_324 ssm_324 fcd_324;68.00;324;0;775.35;1.14;0.00;37.32;DEFAULT_VEHTYPE;;1;21.00;266586.16;2714.38;18.14;102.34;21.53;0.00;86422.99
833.00;305873958#3-AddedOnRampEdge_2;99.87;17.95;760.00;0.64;28718647#1_0;5.10;18.92;tripinfo_149 emissions_149 ssm_149 fcd_149;73.00;149;0;775.35;0.85;0.00;31.43;DEFAULT_VEHTYPE;;1;18.00;215503.51;1617.28;10.82;78.43;18.83;0.00;69863.23
852.00;305873958#3-AddedOnRampEdge_2;99.87;20.04;810.00;0.67;28718647#1_0;5.10;21.32;tripinfo_112 emissions_112 ssm_112 fcd_112;42.00;112;0;775.35;0.96;0.00;5.25;DEFAULT_VEHTYPE;;0;0.00;149412.35;1628.33;10.95;56.83;18.20;0.00;48437.23
870.00;305873958#3-AddedOnRampEdge_0;99.87;23.46;592.00;0.65;29181613#1_3;5.10;19.20;tripinfo_632 emissions_632 ssm_632 fcd_632;278.00;632;0;477.81;1.09;0.00;258.81;DEFAULT_VEHTYPE;;16;202.00;566660.21;1745.22;11.58;213.50;14.10;0.00;183705.32
873.00;10873193#2_0;224.37;22.98;362.00;0.40;29181613#1_0;5.10;29.57;tripinfo_555 emissions_555 ssm_555 fcd_555;511.00;555;0;791.06;1.06;0.00;478.08;DEFAULT_VEHTYPE;;17;389.00;922673.41;2238.55;14.94;360.07;20.45;0.00;299122.62
874.00;305873958#3-AddedOnRampEdge_0;99.87;19.29;375.00;0.30;29181613#1_0;5.10;25.45;tripinfo_709 emissions_709 ssm_709 fcd_709;499.00;709;0;477.81;0.92;0.00;476.88;DEFAULT_VEHTYPE;;23;374.00;814986.09;915.36;6.11;319.59;11.27;0.00;264212.44
876.00;192591565#2_0;258.68;27.05;575.00;0.85;28718647#1_0;5.10;21.75;tripinfo_175 emissions_175 ssm_175 fcd_175;301.00;175;0;1006.64;0.98;0.00;256.48;DEFAULT_VEHTYPE;;6;170.00;638693.51;2974.17;19.86;239.43;26.81;0.00;207056.54
877.00;192591565#2_0;258.68;30.55;645.00;0.73;690516091#0_0;5.10;32.77;tripinfo_1243 emissions_1243 ssm_1243 fcd_1243;232.00;1243;0;903.69;1.18;0.00;203.18;DEFAULT_VEHTYPE;;8;118.00;539367.07;3596.82;24.00;208.64;23.63;0.00;174855.36
880.00;305873958#3-AddedOnRampEdge_3;99.87;18.78;811.00;0.55;690516091#0_0;5.10;23.90;tripinfo_1392 emissions_1392 ssm_1392 fcd_1392;69.00;1392;0;654.28;0.86;0.00;37.36;DEFAULT_VEHTYPE;;1;24.00;212621.32;1658.26;11.11;78.46;16.92;0.00;68928.81
882.00;305873958#3-AddedOnRampEdge_0;99.87;19.01;532.00;0.47;29181613#1_4;5.10;20.46;tripinfo_871 emissions_871 ssm_871 fcd_871;350.00;871;0;477.81;0.87;0.00;325.53;DEFAULT_VEHTYPE;;22;244.00;622717.32;1114.79;7.41;236.93;12.42;0.00;201879.02
883.00;10873193#2_0;224.37;24.19;477.00;0.44;29181613#1_2;5.10;19.19;tripinfo_429 emissions_429 ssm_429 fcd_429;406.00;429;0;791.06;1.10;0.00;375.14;DEFAULT_VEHTYPE;;27;275.00;775585.28;2454.95;16.36;298.98;21.70;0.00;251436.91
883.00;305873958#3-AddedOnRampEdge_0;99.87;20.81;630.00;0.94;29181613#1_4;5.10;19.80;tripinfo_733 emissions_733 ssm_733 fcd_733;253.00;733;0;477.81;0.99;0.00;232.31;DEFAULT_VEHTYPE;;11;187.00;505089.42;1531.24;10.14;190.92;12.07;0.00;163744.35
885.00;305873958#3-AddedOnRampEdge_0;99.87;19.68;613.00;0.93;29181613#1_3;5.10;20.07;tripinfo_617 emissions_617 ssm_617 fcd_617;272.00;617;0;477.81;0.94;0.00;250.23;DEFAULT_VEHTYPE;;15;199.00;524960.37;1364.37;9.04;197.14;12.01;0.00;170186.45
887.00;192591565#2_0;258.68;26.23;664.00;0.54;28718647#1_0;5.10;21.26;tripinfo_295 emissions_295 ssm_295 fcd_295;223.00;295;0;1006.64;0.96;0.00;177.77;DEFAULT_VEHTYPE;;4;142.00;513094.82;2832.81;18.96;196.33;26.82;0.00;166339.38
889.00;192591565#2_0;258.68;25.85;666.00;0.23;28718647#1_1;5.10;20.77;tripinfo_292 emissions_292 ssm_292 fcd_292;223.00;292;0;1006.64;0.93;0.00;176.60;DEFAULT_VEHTYPE;;5;145.00;540469.17;3154.37;21.08;207.68;28.29;0.00;175213.61
890.00;305873958#3-AddedOnRampEdge_3;99.87;21.66;824.00;0.91;690516091#0_0;5.10;27.15;tripinfo_1248 emissions_1248 ssm_1248 fcd_1248;66.00;1248;0;654.28;0.98;0.00;37.99;DEFAULT_VEHTYPE;;2;18.00;209256.73;1693.16;11.40;76.16;17.61;0.00;67837.97
890.00;305873958#3-AddedOnRampEdge_2;99.87;23.30;836.00;0.31;690516091#0_0;5.10;29.73;tripinfo_1255 emissions_1255 ssm_1255 fcd_1255;54.00;1255;0;654.28;1.07;0.00;27.93;DEFAULT_VEHTYPE;;2;7.00;210742.19;2154.84;14.38;79.12;16.07;0.00;68319.09
891.00;192591565#2_0;258.68;24.52;742.00;0.04;28718647#1_0;5.10;20.12;tripinfo_172 emissions_172 ssm_172 fcd_172;149.00;172;0;1006.64;0.91;0.00;101.47;DEFAULT_VEHTYPE;;2;73.00;387766.17;2609.54;17.43;145.97;24.60;0.00;125708.67
895.00;10873193#2_0;224.37;18.87;768.00;0.79;50211834#0_0;5.10;24.90;tripinfo_1436 emissions_1436 ssm_1436 fcd_1436;127.00;1436;0;825.23;0.90;0.00;87.23;DEFAULT_VEHTYPE;;6;60.00;303214.51;1671.94;11.23;111.92;20.41;0.00;98298.32
896.00;10873193#2_0;224.37;21.17;369.00;0.69;29181613#1_0;5.10;28.61;tripinfo_392 emissions_392 ssm_392 fcd_392;527.00;392;0;791.06;1.03;0.00;493.58;DEFAULT_VEHTYPE;;23;386.00;922596.07;1846.11;12.29;358.59;18.08;0.00;299097.82
898.00;10873193#2_0;224.37;21.25;485.00;0.38;29181613#1_2;5.10;19.88;tripinfo_540 emissions_540 ssm_540 fcd_540;413.00;540;0;791.06;0.97;0.00;377.87;DEFAULT_VEHTYPE;;16;305.00;782335.98;2240.08;14.90;298.39;20.49;0.00;253625.66
900.00;10873193#2_0;224.37;24.62;781.00;0.64;50211834#0_0;5.10;31.06;tripinfo_1431 emissions_1431 ssm_1431 fcd_1431;119.00;1431;0;822.42;1.12;0.00;86.90;DEFAULT_VEHTYPE;;5;48.00;332603.21;2599.22;17.41;125.31;21.40;0.00;107825.13
901.00;305873958#3-AddedOnRampEdge_0;99.87;21.71;560.00;0.07;29181613#1_3;5.10;19.78;tripinfo_722 emissions_722 ssm_722 fcd_722;341.00;722;0;477.81;0.99;0.00;319.92;DEFAULT_VEHTYPE;;27;239.00;620271.92;1337.31;8.90;239.29;13.79;0.00;201086.51
904.00;192591565#2_0;258.68;31.72;667.00;0.03;28718647#1_0;5.10;26.32;tripinfo_276 emissions_276 ssm_276 fcd_276;237.00;276;0;1006.64;1.18;0.00;200.99;DEFAULT_VEHTYPE;;6;151.00;615069.23;4090.52;27.18;237.05;28.25;0.00;199396.88
906.00;192591565#2_0;258.68;26.79;774.00;0.54;690516091#0_0;5.10;27.67;tripinfo_1407 emissions_1407 ssm_1407 fcd_1407;132.00;1407;0;903.69;1.00;0.00;98.04;DEFAULT_VEHTYPE;;3;58.00;393904.33;3133.39;20.98;149.30;25.44;0.00;127698.16
908.00;192591565#2_0;258.68;26.13;719.00;0.89;690516091#0_2;5.10;26.37;tripinfo_1267 emissions_1267 ssm_1267 fcd_1267;189.00;1267;0;903.69;0.95;0.00;153.17;DEFAULT_VEHTYPE;;6;96.00;474880.02;2773.43;18.54;176.31;24.32;0.00;153949.47
912.00;192591565#2_0;258.68;31.44;511.00;0.33;29181613#1_1;5.10;30.05;tripinfo_714 emissions_714 ssm_714 fcd_714;401.00;714;0;523.09;1.13;0.00;382.93;DEFAULT_VEHTYPE;;20;297.00;757787.37;2720.12;18.10;301.46;16.75;0.00;245667.41
915.00;10873193#2_0;224.37;24.27;785.00;0.91;50211834#0_1;5.10;31.64;tripinfo_1429 emissions_1429 ssm_1429 fcd_1429;130.00;1429;0;822.42;1.14;0.00;98.56;DEFAULT_VEHTYPE;;8;45.00;377015.69;2641.11;17.62;139.74;21.28;0.00;122222.97
915.00;10873193#2_1;224.37;23.58;786.00;0.08;50211834#0_2;5.10;31.08;tripinfo_1489 emissions_1489 ssm_1489 fcd_1489;129.00;1489;0;825.23;1.12;0.00;96.43;DEFAULT_VEHTYPE;;5;55.00;392626.87;2927.92;19.49;146.56;21.98;0.00;127283.62
915.00;192591565#2_0;258.68;28.79;788.00;0.92;28718647#1_0;5.10;23.67;tripinfo_106 emissions_106 ssm_106 fcd_106;127.00;106;0;1006.64;1.07;0.00;85.76;DEFAULT_VEHTYPE;;5;40.00;407297.60;3558.30;23.80;153.33;29.27;0.00;132039.63
916.00;10873191#5_3;21.02;13.79;706.00;0.67;690516091#0_0;5.10;28.71;tripinfo_1010 emissions_1010 ssm_1010 fcd_1010;210.00;1010;0;714.43;1.03;0.00;184.51;DEFAULT_VEHTYPE;;4;147.00;452440.96;1865.38;12.50;169.40;17.05;0.00;146676.34
916.00;10873191#5_1;21.02;14.41;725.00;0.05;28718647#1_0;5.10;26.71;tripinfo_17 emissions_17 ssm_17 fcd_17;191.00;17;0;817.38;1.20;0.00;161.61;DEFAULT_VEHTYPE;;5;124.00;425916.11;1949.96;13.15;158.44;21.32;0.00;138077.10
916.00;10873191#5_0;21.02;12.56;768.00;0.15;690516091#0_0;5.10;33.13;tripinfo_1024 emissions_1024 ssm_1024 fcd_1024;148.00;1024;0;714.43;1.19;0.00;125.92;DEFAULT_VEHTYPE;;3;70.00;314860.88;1515.11;10.23;115.41;14.46;0.00;102073.81
916.00;305873958#3-AddedOnRampEdge_3;99.87;20.73;879.00;0.58;690516091#0_0;5.10;26.94;tripinfo_1270 emissions_1270 ssm_1270 fcd_1270;37.00;1270;0;654.28;0.97;0.00;8.14;DEFAULT_VEHTYPE;;0;0.00;166751.96;1955.21;13.09;63.94;16.91;0.00;54058.24
917.00;10873191#5_2;21.02;13.80;759.00;0.10;690516091#0_0;5.10;23.43;tripinfo_1177 emissions_1177 ssm_1177 fcd_1177;158.00;1177;0;714.43;0.84;0.00;125.95;DEFAULT_VEHTYPE;;2;92.00;358950.94;1700.69;11.36;133.24;16.80;0.00;116367.64
917.00;10873193#2_1;224.37;20.56;786.00;0.39;50211834#0_1;5.10;27.30;tripinfo_1654 emissions_1654 ssm_1654 fcd_1654;131.00;1654;0;822.42;0.98;0.00;94.20;DEFAULT_VEHTYPE;;6;45.00;355610.34;2188.22;14.60;127.93;20.34;0.00;115283.81
918.00;10873193#2_1;224.37;22.77;625.00;0.25;29181613#1_4;5.10;19.41;tripinfo_491 emissions_491 ssm_491 fcd_491;293.00;491;0;791.06;1.06;0.00;260.44;DEFAULT_VEHTYPE;;16;196.00;625766.02;2483.33;16.48;237.50;21.20;0.00;202866.47
918.00;10873191#5_0;21.02;14.56;707.00;0.12;690516091#0_0;5.10;27.11;tripinfo_943 emissions_943 ssm_943 fcd_943;211.00;943;0;714.43;0.98;0.00;183.75;DEFAULT_VEHTYPE;;7;135.00;445656.02;1778.33;11.83;165.00;14.51;0.00;144476.41
918.00;10873191#5_3;21.02;14.04;714.00;0.22;690516091#0_0;5.10;26.42;tripinfo_1033 emissions_1033 ssm_1033 fcd_1033;204.00;1033;0;714.43;0.95;0.00;175.95;DEFAULT_VEHTYPE;;4;129.00;436741.09;1742.41;11.66;161.30;16.95;0.00;141586.35
918.00;10873191#5_1;21.02;14.39;715.00;0.82;690516091#0_0;5.10;23.89;tripinfo_1135 emissions_1135 ssm_1135 fcd_1135;203.00;1135;0;714.43;0.86;0.00;171.58;DEFAULT_VEHTYPE;;8;107.00;423401.11;1437.77;9.65;153.21;17.60;0.00;137261.43
919.00;10873191#5_2;21.02;16.26;755.00;0.31;28718647#1_0;5.10;20.51;tripinfo_3 emissions_3 ssm_3 fcd_3;164.00;3;0;817.38;0.92;0.00;124.10;DEFAULT_VEHTYPE;;2;97.00;377228.40;1926.06;12.82;140.29;18.31;0.00;122292.94
919.00;192591565#2_0;258.68;25.32;768.00;0.13;690516091#0_2;5.10;25.71;tripinfo_1340 emissions_1340 ssm_1340 fcd_1340;151.00;1340;0;903.69;0.93;0.00;113.79;DEFAULT_VEHTYPE;;6;60.00;403873.74;2755.98;18.47;149.26;25.20;0.00;130929.89
920.00;10873191#5_2;21.02;15.35;726.00;0.61;690516091#0_0;5.10;25.12;tripinfo_970 emissions_970 ssm_970 fcd_970;194.00;970;0;714.43;0.90;0.00;164.34;DEFAULT_VEHTYPE;;5;98.00;407031.86;1738.55;11.58;148.55;15.86;0.00;131954.38
920.00;10873191#5_1;21.02;17.91;731.00;0.20;690516091#0_0;5.10;30.97;tripinfo_984 emissions_984 ssm_984 fcd_984;189.00;984;0;714.43;1.11;0.00;164.50;DEFAULT_VEHTYPE;;8;98.00;433616.15;2216.00;14.77;160.34;16.57;0.00;140572.59
920.00;10873191#5_3;21.02;15.29;765.00;0.72;28718647#1_0;5.10;24.49;tripinfo_14 emissions_14 ssm_14 fcd_14;155.00;14;0;817.38;1.10;0.00;121.55;DEFAULT_VEHTYPE;;4;83.00;370779.93;1906.67;12.69;136.77;17.76;0.00;120202.07
920.00;10873191#5_0;21.02;15.22;784.00;0.73;50211834#0_1;5.10;32.96;tripinfo_1833 emissions_1833 ssm_1833 fcd_1833;136.00;1833;0;643.12;1.19;0.00;114.73;DEFAULT_VEHTYPE;;5;64.00;351024.55;1937.75;12.99;127.99;17.10;0.00;113797.56
921.00;305873958#3-AddedOnRampEdge_2;99.87;20.22;839.00;0.88;28718647#1_0;5.10;24.63;tripinfo_275 emissions_275 ssm_275 fcd_275;82.00;275;0;775.35;1.11;0.00;50.18;DEFAULT_VEHTYPE;;1;35.00;262474.35;2331.02;15.59;100.47;19.73;0.00;85090.38
921.00;305873958#3-AddedOnRampEdge_3;99.87;20.35;874.00;0.95;28718647#1_0;5.10;20.62;tripinfo_133 emissions_133 ssm_133 fcd_133;47.00;133;0;775.35;0.93;0.00;8.55;DEFAULT_VEHTYPE;;0;0.00;200968.59;2177.12;14.53;76.02;20.06;0.00;65150.80
922.00;10873191#5_3;21.02;18.53;738.00;0.91;690516091#0_0;5.10;28.15;tripinfo_1072 emissions_1072 ssm_1072 fcd_1072;184.00;1072;0;714.43;1.01;0.00;157.09;DEFAULT_VEHTYPE;;6;102.00;433797.49;2128.77;14.21;160.33;18.18;0.00;140631.57
922.00;10873191#5_1;21.02;18.72;806.00;0.45;50211834#0_0;5.10;30.55;tripinfo_1735 emissions_1735 ssm_1735 fcd_1735;116.00;1735;0;643.12;1.10;0.00;92.87;DEFAULT_VEHTYPE;;6;44.00;301745.09;1787.86;11.93;109.24;15.19;0.00;97821.59
922.00;10873191#5_2;21.02;16.52;817.00;0.02;50211834#0_0;5.10;30.67;tripinfo_1771 emissions_1771 ssm_1771 fcd_1771;105.00;1771;0;640.31;1.10;0.00;82.68;DEFAULT_VEHTYPE;;2;47.00;272561.17;1692.42;11.32;100.34;15.23;0.00;88360.73
927.00;305873958#3-AddedOnRampEdge_2;99.87;23.69;888.00;0.06;28718647#1_0;5.10;23.71;tripinfo_336 emissions_336 ssm_336 fcd_336;39.00;336;0;775.35;1.07;0.00;5.59;DEFAULT_VEHTYPE;;0;0.00;177282.89;2213.92;14.87;69.38;20.96;0.00;57472.26
934.00;10873193#2_0;224.37;21.82;847.00;0.57;50211834#0_1;5.10;28.01;tripinfo_1434 emissions_1434 ssm_1434 fcd_1434;87.00;1434;0;825.23;1.01;0.00;51.88;DEFAULT_VEHTYPE;;1;38.00;270994.33;2406.67;16.08;104.50;19.93;0.00;87852.42
938.00;10873191#5_2;21.02;30.31;873.00;0.52;50211834#0_0;5.10;32.43;tripinfo_1732 emissions_1732 ssm_1732 fcd_1732;65.00;1732;0;640.31;1.17;0.00;43.58;DEFAULT_VEHTYPE;;2;14.00;277764.92;3009.76;20.10;107.08;19.82;0.00;90046.59
940.00;10873193#2_0;224.37;18.34;850.00;0.80;50211834#0_2;5.10;24.43;tripinfo_1642 emissions_1642 ssm_1642 fcd_1642;90.00;1642;0;825.23;0.88;0.00;48.95;DEFAULT_VEHTYPE;;1;34.00;245973.18;1844.19;12.32;92.48;18.34;0.00;79741.24
941.00;10873193#2_0;224.37;21.09;855.00;0.50;50211834#0_0;5.10;29.26;tripinfo_1428 emissions_1428 ssm_1428 fcd_1428;86.00;1428;0;822.42;1.05;0.00;51.93;DEFAULT_VEHTYPE;;1;31.00;274966.62;2509.45;16.73;105.69;19.38;0.00;89140.02
944.00;10873193#2_0;224.37;22.27;857.00;0.25;50211834#0_2;5.10;29.09;tripinfo_1543 emissions_1543 ssm_1543 fcd_1543;87.00;1543;0;825.23;1.05;0.00;52.15;DEFAULT_VEHTYPE;;2;32.00;266899.43;2255.74;15.10;100.54;20.11;0.00;86524.89
944.00;10873191#5_2;21.02;23.35;898.00;0.10;50211834#0_2;5.10;23.97;tripinfo_1750 emissions_1750 ssm_1750 fcd_1750;46.00;1750;0;643.12;0.86;0.00;16.34;DEFAULT_VEHTYPE;;0;0.00;202603.19;2067.69;13.77;74.70;17.14;0.00;65680.57
947.00;10873191#5_2;21.02;21.68;902.00;0.59;50211834#0_2;5.10;22.10;tripinfo_1820 emissions_1820 ssm_1820 fcd_1820;45.00;1820;0;643.12;0.80;0.00;13.16;DEFAULT_VEHTYPE;;0;0.00;181024.59;1768.17;11.80;66.50;16.69;0.00;58685.28
